Belts,"Cinture,Belts,Belt,Belts and Braces,Belts e Braces,Costumi da bagno"
Scarves & Wraps,"Sciarpe e Foulard,Scarves, Scarves and silk,Scarf,SCARVES HATS AND GLOVES,SCIARPE,Sciarpe, cappelli e guanti,SCARF,Sciarpe,"
Tie & Bow Ties,"Cravatte e Papillons,Ties,Ties & Bow Ties,TIES,Tie,TIES AND BOW TIES,Cravatte,Cravatte e papillon,cravatte,papillon,bowties-e-ties,Tie Clips,Papillon e cravatte"
Wallets & Cardholders,"Portafogli,Wallets,Other Accessories,Small Leather Goods,Card holder,Keycase,Wallet,piccola pelletteria,Minuteria/Slg,Portafogli e porta carte,Portacarte
"
Sunglasses & Frames,"Occhiali Da Sole,Sunglasess,Glasses,Occhiali"
Beanies & Caps,"Cappelli,Hats,Hat,Beanies,Cappelli e berretti"
Gloves,Gloves
Document Holder,"Piccola Pelletteria,Pouches,Pouch,Purse,Pochette da taschino"
Wristlets,
Socks & Under Wear,"Calze E Calzini,Socks,Soks,calze & Calzini,Calzini,Calze,Intimo"
Jewelry,"Gioielli E Orologi, Key Rings,Bracelets,Cufflinks, Earrings,Necklaces,Rings,jewelry & Watches,Keychains,Bracelet,jewelry,Orologi,Gemelli da camicia,Portachiavi,Gioielli,Portachiavi"
Perfumes,PARFUMS
Others,"Braces,Tech Accessories,Object,Cover,I-pad cases,Cases,Computer cases,Accessori,COVER IPHONE/IPAD, Covers,PORTACHIAVI,Accessori hi-tech,ACCESSORIES,Cover,covers-e-cases"
Backpacks,"Zaini,Backpacks,Backpacks and bumbags,Bag"
Briefcases,"Borse da lavoro,Briefcases,Suitcases,Ventiquattrore"
Clutches,"Clutches,clutch & pochette,POCHETTE,Borse da lavoro"
Shoulder Bags,"Bags,Tote Bags,Shoppers and Totes,Shoulder Bags,Borse,BORSE A SPALLA,Tote,Tracolle,Borse a tracolla"
Travel Bags,"Borse da viaggio, Travel,Travel Bags,Suit Bag,Trolley,Business e travels,Valigie e borsoni
"
Messenger Bags,"Messenger and Crossbody Bags,Messenger Bags"
Others,Pouches
Crossbody Bag,"Across Body Satchels,Cross-Body"
Belt Bag,"Marsupi,Bum Bags,Belt Bags,Bumbags,Marsupio"
Handbags,"Borse a mano,Borse a tracolla,Handbags,Hobo Bag,Top Handle,Rolled Bag,Bucket Bags"
Laptop Bags,
Duffle Bags,"Briefcases and Totes,Duffle,Shoppers,Duffle bags,Borse da viaggio"
Shirts,"Camicie,Casual,Classiche,Shirts,Shirt,Plain,Print,Striped,Short Sleeves,Long Sleeves,Blouses,Casual,Classics,Short Sleeves,Long Sleeves,Camicia"
Knitwear / Sweater,"Maglieria,Cardigan,Collo Alto,Maglie,Sweaters and Cardigans, Knitwear,Sweater,Sweaters,Turtlenecks,Cardigans,Knitwears,Sweater,V-neck sweaters,Turtleneck sweaters,Shrug"
T-Shirts,"Polo,T-Shirt,T-Shirts and Polos,Polo Shrits,T-Shirts,T-Shirts & Polos,Polos,Tshirt,Vests & tanks,Polo & T-shirt, Topwear,Giubbini"
Jumper,
Sweatshirt & Hoodies,"Felpe,Sweatshirts,Sweatshirt,Hoodies,Round neck,Sweater,Crew-Neck,Hoodie,Zip,Turtleneck sweaters,Crewneck sweaters,Giubbotto,Felpa,sweatshirt & Hoodies"
Others,"Activewear,Swimwear,Underwear,Underwear and Socks,INTIMATES,Lingerie and Hosiery,Swimsuit,costume,Telo da bagno"
Coats & jackets & Suits,"Abiti,Abiti Classici,Cappotti,Impermeabili e trench,Lunghi,Piumini Lunghi,Blazer,Giacche Casual,Giacche In Pelle,Gilet,Giubbotti,Piumini,Jackets and Vests,Coats,Suits,Capes, Denim Jackets, Down Jackets, Formal Jackets,Leather Jackets, Sports Jackets,Trech Coats,Padded Jackets,Blazer,Outerwear,Furs,Blazers,Jackets,COATS,SUITS,Coat,Hooded,Trench & raincoat,Bomber jackets,Shirt jackets,Sport jackets & wind breakers,Gilet,Casual,Parkas,Bomber Jacket,Suits,Single-Breasted,Double-Breasted,GILET,GIUBBOTTO,TRENCH,Bombers,crewneck sweaters,Parkas,Raincoats,Trenchcoat,Vest,Waistcoats,Abito,Giacca,Capospalla,CAPISPALLA,RAIN,Jacket,Trench,Abiti eleganti,Giacche e giubbotti,Gilet e panciotti,Completi,tailleurs,furs,blazers-e-vests,Giubbini,Giacche e gilet,Giacche in pelle,Giubbini,"
Denim,"Jeans,Skinny,Straight-leg,Boyfriend,Boot-cut and Flared,Cropped"
Pants & Shorts,"Bermuda,Eleganti,Pantaloni Casual,Pantaloni in felpa,Pants,Shorts,Beachwear,Trousers,Costume,Swim shorts,Chino,Cropped,Loose fit,Skinny,Tailored,Track pant,Drop Crotch,Track shorts,Pantalone,Coulotte,Costumi da bagno,Pantaloncino,Costumi
"
Sandals,"Sandali,Sandals,Slides & Flip-flops,SANDALI FLATS,Sling-back,Mary-Jane"
Boots,"Stivali,Mid-heel,High-heel,Chelsea Boots,ANFIBI,TRONCHETTI,Polacchine,
"
Loafers,"Mocassini,Moccasins,Flats,Loafers"
Brogues & Derbies,"Lace Ups,Formal Shoes,Lace-Up Shoes,Derby,Oxford,Monk,oxfords,SCOZZESE,Scarpe stringate"
Slip-Ons,Stringate
Sneakers,"Sneakers,Shoes,Flat,Slip-on,TRAINERS"
Slippers,Slipprs
Espadrilles,Espadrilles
Others,"Jersey,"
