"id";"sku";"name";"supplier"
"302152";"30S0GCCS1T001CARINEHANDBAGWITHSPACIOUSINTERIORWITHNUMEROUSPOCKETS,REMOVABLESHOULDERSTRAPANDTOPHANDLES.MADEOFTEXTUREDLEATHERWITHSTUDS.GOLDTONEMETALDETAILS.EXTERNALDETAILS:BACKPOCKETWITHZIP,FRO";"Small Carine handbag in studded leather";"Groppetti"
"302134";"QuickSell2016503";"QUICKSELL";"Yogesh Mordani"
"302133";"giv123456";"Givenchy T Shirts.";"Yogesh"
"302132";"QuickSell2016502";"QUICKSELL";"Yogesh Mordani"
"302131";"QuickSell2016501";"QUICKSELL";"Yogesh Mordani"
"302021";"QuickSell2016413";"QUICKSELL";"Yogesh Mordani"
"302018";"QuickSell2016412";"QUICKSELL";"Yogesh Mordani"
"302017";"QuickSell2016411";"QUICKSELL";"Yogesh Mordani"
"302016";"QuickSell2016410";"QUICKSELL";"Yogesh Mordani"
"302015";"QuickSell2016409";"QUICKSELL";"Yogesh Mordani"
"302014";"QuickSell2016408";"QUICKSELL";"Yogesh Mordani"
"302013";"QuickSell2016407";"QUICKSELL";"Yogesh Mordani"
"302012";"QuickSell2016406";"QUICKSELL";"Yogesh Mordani"
"302011";"QuickSell2016405";"QUICKSELL";"Yogesh Mordani"
"302010";"QuickSell2016404";"QUICKSELL";"Yogesh Mordani"
"302009";"QuickSell2016403";"QUICKSELL";"Yogesh Mordani"
"302008";"QuickSell2016402";"QUICKSELL";"Yogesh Mordani"
"302007";"QuickSell2016401";"QUICKSELL";"Yogesh Mordani"
"301555";"QuickSell2015206";"QUICKSELL";"Yogesh Mordani"
"301554";"QuickSell2015205";"QUICKSELL";"Yogesh Mordani"
"301553";"QuickSell2015204";"QUICKSELL";"Yogesh Mordani"
"301552";"QuickSell2015203";"QUICKSELL";"Yogesh Mordani"
"301551";"QuickSell2015202";"QUICKSELL";"Yogesh Mordani"
"301550";"QuickSell2015201";"QUICKSELL";"Yogesh Mordani"
